life	Aaa
mind	Aac
dream	Aad
fun	aaA
wonder	AaC
love	aaD
enjoy	AaD
favorite	Aba
art	abB
music	AbC
thought	Aca
knew	ACb
tell	Acc
remember	Acca
think	acba
know	accc
learn	acA
understand	acC
explain	acD
doing	aDa
done	Adb
together	adC
work	add
working	adbA
look	adAb
looking	adA
figure	AdB
see	adB
find	adBc
let	adCa
?	adcc
!	adcb
wait	adCb
watch	adcC
here	adcd
read	adAd
surprise	adD
happy	addA
going	adbc
sure	addD
nothing	aAa
something	aAb
anything	AAb
someone	aAca
anyone	aAc
everything	aAba
everyone	AAd
're	aAA
'm	aAB
guy	aAC
things	aAd
thing	aAD
yourself	ABa
myself	aBB
them	aBa
him	aBc
himself	aBcb
themselves	ABd
my	abA
his	aA
her	aBb
your	abC
our	aD
their	aB
its	aBd
else	aCaa
ever	acaa
never	aCab
no	cca
any	acad
you	acb
we	aab
they	aca
perhaps	aCba
probably	acaA
maybe	acbA
there	acab
true	aCbb
not	ccb
n't	bca
i	A
do	aaa
where	adbd
if	acbd
because	acbb
like	aCb
really	aCad
always	aCbd
whether	aCc
how	acca
what	acac
why	aCcd
worth	aCd
matter	acdA
about	acbc
happen	aCdd
exactly	aCdb
point	aCa
least	aCA
period	aCB
time	acB
moment	aDB
currently	aCC
yet	aCca
today	aCcc
already	acaD
now	accd
still	aAcd
though	aCda
but	cC
however	aCbc
although	aCcb
one	acc
a	bc
another	acDa
be	acd
also	acdb
that	ac
which	accb
it	ad
this	bC
even	acda
simply	acCc
only	addc
just	acdc
actually	acbC
fact	aCdc
all	aC
both	acDc
either	aCac
end	addd
mean	acdd
course	aCD
pretty	aDaa
very	adaa
quite	adaC
enough	aDb
so	adb
too	aDbc
most	aDc
particular	adcA
especially	aDcc
increasing	aDd
extreme	aDda
relative	aDdc
feel	adAa
felt	aDac
sound	aDA
seem	adAc
appear	aDad
rather	aDba
more	adac
less	adad
bit	adBa
lot	adbC
much	adBd
little	adbD
worse	aDC
good	adca
bad	aDcb
best	adCc
better	aDcd
regular	adDa
normal	aDdb
easily	adDc
sometimes	adDd
often	aDdd
usually	aDbd
easy	aDca
simple	adaB
hard	addC
difficult	adCd
next	Baa
last	bAb
past	Aab
ago	Bac
later	bAda
earlier	bAd
original	BaA
previous	AaB
initial	BaB
latest	BaC
